Illinois
1997
"Taft, J. B., Wilhelm, G. S., Ladd, D. M., & Masters, L. A. 1997. Floristic quality assessment for vegetation in Illinois, a method for assessing vegetation integrity. Westville: Illinois Native Plant Society."
"Illinois  , 1997"

"Total Species:",3040
"Native Species:",2084
"Non-native Species:",956
"Total Mean C:",4.4
"Native Mean C:",6.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Castilleja sessiliflora",,CASSES,native,10,5,forb,perennial,"downy yellow painted cup"
"Catalpa bignoniodes",,CATBIG,non-native,0,3,tree,perennial,"common catalpa"
"Catalpa speciosa",,CATSPE,native,0,3,tree,perennial,"cigar tree"
"Caulophyllum thalictroides",,CAUTHA,native,8,5,forb,perennial,"blue cohosh"
"Ceanothus americanus",,CEAAME,native,8,5,shrub,perennial,"new jersey tea"
"Ceanothus herbaceus",,CEAHER,native,9,5,shrub,perennial,"inland new jersey tea"
"Celastrus orbiculatus",,CELORB,non-native,0,5,vine,perennial,"oriental bittersweet"
"Celastrus scandens",,CELSCA,native,2,3,vine,perennial,"climbing bittersweet"
"Celtis laevigata",,CELLAE,native,5,-3,tree,perennial,sugarberry
"Celtis occidentalis",,CELOCC,native,3,1,tree,perennial,hackberry
"Celtis tenuifolia",,CELTEN,native,7,5,shrub,perennial,"dwarf hackberry"
"Cenchrus longispinus",,CENLON,native,0,5,grass,annual,"mat sandbur"
"Centaurea americana",,CENAME,non-native,0,5,forb,annual,"american basket flower"
"Centaurea calcitrapa",,CENCAL,non-native,0,5,forb,annual,"purple star thistle"
"Centaurea cyanus",,CENCYA,non-native,0,5,forb,annual,"bachelors button"
"Centaurea diffusa",,CENDIF,non-native,0,5,forb,annual,"spreading star thistle"
"Centaurea dubia",,CENDUB,non-native,0,5,forb,perennial,"tyrol knapweed"
"Centaurea jacea",,CENJAC,non-native,0,5,forb,perennial,"brown knapweed"
"Centaurea maculosa",,CENMAC,non-native,0,5,forb,biennial,"spotted centaurea"
"Centaurea moschata",,CENMOS,non-native,0,5,forb,annual,"sweet sultan"
"Centaurea nigra",,CENNIG,non-native,0,5,forb,perennial,"black knapweed"
"Centaurea repens",,CENREP,non-native,0,5,forb,perennial,"russian knapweed"
"Centaurea solstitialis",,CENSOL,non-native,0,5,forb,annual,"barnabys thistle"
"Centaurium pulchellum",,CENPUL,non-native,0,4,forb,annual,"showy centaury"
"Cephalanthus occidentalis",,CEPOCC,native,4,-5,shrub,perennial,buttonbush
"Cerastium arvense",,CERARV,native,4,4,forb,perennial,"field chickweed"
"Cerastium brachypetalum",,CERBRA,non-native,0,5,forb,annual,"short-pedicelled chickweed"
"Cerastium diffusum",,CERDIF,non-native,0,5,forb,annual,"four-parted chickweed"
"Cerastium dubium",,CERDUB,non-native,0,5,forb,annual,"three-styled chickweed"
"Cerastium glomeratum",,CERGLO,non-native,0,5,forb,perennial,"clammy chickweed"
"Cerastium nutans",,CERNUN,native,0,2,forb,annual,"nodding chickweed"
"Cerastium nutans v. brachypodum",,CERNUB,native,0,4,forb,annual,"short-pedicelled chickweed"
"Cerastium pumilum",,CERPUM,non-native,0,5,forb,annual,"curtiss mouse-ear chickweed"
"Cerastium semidecandrum",,CERSEM,non-native,0,5,forb,annual,"small mouse-ear chickweed"
"Cerastium vulgatum",,CERVUL,non-native,0,3,forb,perennial,"common mouse-ear chickweed"
"Ceratocephalus testiculatus",,CERTES,non-native,0,5,forb,annual,"bur buttercup"
"Ceratophyllum demersum",,CERDEM,native,3,-5,forb,perennial,coontail
"Ceratophyllum muricatum",,CERMUR,native,10,-5,forb,perennial,"spiny coontail"
"Cercis canadensis",,CERCAN,native,3,3,tree,perennial,"eastern redbud"
"Chaenomeles japonica",,CHAJAP,non-native,0,5,shrub,perennial,"japanese quince"
"Chaenorrhinum minus",,CHAMIN,non-native,0,5,forb,annual,"dwarf snapdragon"
"Chaerophyllum procumbens",,CHAPRC,native,1,-1,forb,annual,"streambank chervil"
"Chaerophyllum tainturieri",,CHATAI,native,1,2,forb,annual,"wild chervil"
"Chamaedaphne calyculata v. angustifolia",,CHACAL,native,10,-5,shrub,perennial,leatherleaf
"Chamaelirium luteum",,CHALUT,native,9,4,forb,perennial,"blazing star"
"Chamaemelum nobile",,CHANOB,non-native,0,5,forb,perennial,"garden chamomile"
"Chamaesyce geyeri",,CHAGEY,native,10,5,forb,annual,"gyeres spurge"
"Chamaesyce glyptosperma",,CHAGLY,native,3,5,forb,annual,"smooth creeping spurge"
"Chamaesyce humistrata",,CHAHUM,native,1,-3,forb,annual,"spreading spurge"
"Chamaesyce maculata",,CHAMAC,native,0,4,forb,annual,"nodding spurge"
"Chamaesyce polygonifolia",,CHAPOL,native,10,5,forb,annual,"seaside spurge"
"Chamaesyce prostrata",,CHAPRS,non-native,0,5,forb,annual,"matted spurge"
"Chamaesyce serpens",,CHASEN,native,2,5,forb,annual,"round-leaved spurge"
"Chamaesyce serpyllifolia",,CHASEL,non-native,0,5,forb,annual,"thyme-leaved spurge"
"Chamaesyce supina",,CHASUP,native,0,5,forb,annual,"spotted creeping spurge"
"Chamaesyce vermiculata",,CHAVER,native,0,5,forb,annual,"hairy spurge"
"Chasmanthium latifolium",,CHALAT,native,4,-3,grass,perennial,"sea oats"
"Cheilanthes feei",,CHEFEE,native,8,5,fern,perennial,"baby lip fern"
"Cheilanthes lanosa",,CHELAN,native,7,5,fern,perennial,"hairy lip fern"
"Chelidonium majus",,CHEMAJ,non-native,0,5,forb,biennial,celandine
"Chelone glabra",,CHEGLB,native,7,-5,forb,perennial,"white turtlehead"
"Chelone obliqua v. speciosa",,CHEOBL,native,8,-5,forb,perennial,"pink turtlehead"
"Chenopodium album",,CHEALB,non-native,0,1,forb,annual,"lambs quarters"
"Chenopodium ambrosioides",,CHEAMB,non-native,0,1,forb,annual,"american wormseed"
"Chenopodium berlandieri",,CHEBER,native,0,5,forb,annual,goosefoot
"Chenopodium bonus-henricus",,CHEBON,non-native,0,5,forb,perennial,"good king henry"
"Chenopodium botrys",,CHEBOT,non-native,0,1,forb,annual,"jerusalem oak"
"Chenopodium bushianum",,CHEBUS,native,2,5,forb,annual,goosefoot
"Chenopodium capitatum",,CHECAP,non-native,0,5,forb,annual,"strawberry blite"
"Chenopodium desiccatum v. leptophylloides",,CHEDES,native,0,5,forb,annual,"narrow-leaved goosefoot"
"Chenopodium gigantospermum",,CHEGIG,native,3,5,forb,annual,"maple-leaved goosefoot"
"Chenopodium glaucum",,CHEGLC,non-native,0,-3,forb,annual,"oak-leaved goosefoot"
"Chenopodium missouriense",,CHEMIS,native,1,5,forb,annual,"missouri goosefoot"
"Chenopodium murale",,CHEMUR,non-native,0,5,forb,annual,"nettle-leaved goosefoot"
"Chenopodium pallescens",,CHEPAL,native,2,5,forb,annual,"narrow-leaved goosefoot"
"Chenopodium polyspermum",,CHEPOL,non-native,0,5,forb,annual,"many-seeded goosefoot"
"Chenopodium pumilio",,CHEPUM,non-native,0,5,forb,annual,goosefoot
"Chenopodium rubrum",,CHERUB,non-native,0,-5,forb,annual,"coast blite"
"Chenopodium standleyanum",,CHESTA,native,3,5,forb,annual,"woodland goosefoot"
"Chenopodium strictum v. glaucophyllum",,CHESTR,native,0,5,forb,annual,goosefoot
"Chenopodium urbicum",,CHEURB,non-native,0,5,forb,annual,"city goosefoot"
"Chimaphila maculata",,CHIMAC,native,10,5,shrub,perennial,"spotted wintergreen"
"Chimaphila umbellata v. cisatlantica",,CHIUMB,native,10,5,shrub,perennial,pipsissewa
"Chloris gayana",,CHLGAY,non-native,0,5,grass,perennial,"finger grass"
"Chloris verticillata",,CHLVER,non-native,0,5,grass,perennial,"windmill grass"
"Chorispora tenella",,CHOTEN,non-native,0,5,forb,annual,"purple rocket"
"Cichorium intybus",,CICINT,non-native,0,5,forb,perennial,chickory
"Cicuta bulbifera",,CICBUL,native,9,-5,forb,perennial,"bulblet-bearing water hemlock"
"Cicuta maculata",,CICMAC,native,4,-5,forb,biennial,"water hemlock"
"Cimicifuga americana",,CIMAME,native,10,5,forb,perennial,"american bugbane"
"Cimicifuga racemosa",,CIMRAC,native,10,0,forb,perennial,"false bugbane"
"Cimicifuga rubifolia",,CIMRUB,native,10,5,forb,perennial,"black cohosh"
"Cinna arundinacea",,CINARU,native,5,-3,grass,perennial,"common wood reed"
"Cinna latifolia",,CINLAT,native,10,-4,grass,perennial,"drooping wood reed"
"Circaea alpina",,CIRALP,native,5,-3,forb,perennial,"small enchanters nightshade"
"Circaea lutetiana v. canadensis",,CIRLUT,native,2,3,forb,perennial,"enchanters nightshade"
"Cirsium altissimum",,CIRALT,native,3,5,forb,perennial,"tall thistle"
"Cirsium arvense",,CIRARV,non-native,0,3,forb,perennial,"field thistle"
"Cirsium carolinianum",,CIRCAR,native,8,5,forb,biennial,"carolina thistle"
"Cirsium discolor",,CIRDIS,native,3,5,forb,biennial,"pasture thistle"
"Cirsium muticum",,CIRMUT,native,9,-5,forb,biennial,"fen thistle"
"Cirsium pitcheri",,CIRPIT,native,10,5,forb,biennial,"dune thistle"
"Cirsium pumilum",,CIRPUM,native,7,5,forb,perennial,"hills thistle"
"Cirsium undulatum",,CIRUND,non-native,0,1,forb,perennial,"wavy-leaved thistle"
"Cirsium vulgare",,CIRVUL,non-native,0,4,forb,biennial,"bull thistle"
"Citrullus lanatus",,CITLAN,non-native,0,5,vine,perennial,watermelon
"Cladium mariscoides",,CLAMAR,native,10,-5,sedge,perennial,"twig rush"
"Cladrastis lutea",,CLALUT,native,10,5,tree,perennial,yellowwood
"Claytonia virginica",,CLAVIR,native,1,3,forb,perennial,"spring beauty"
"Clematis crispa",,CLECRI,native,10,-5,vine,perennial,"blue jasmine"
"Clematis occidentalis",,CLEOCC,native,10,5,vine,perennial,"mountain clematis"
"Clematis pitcheri",,CLEPIT,native,4,3,vine,perennial,"leather flower"
"Clematis terniflora",,CLETER,non-native,0,5,vine,perennial,"virgins bower"
"Clematis viorna",,CLEVIO,native,10,5,vine,perennial,leatherflower
"Clematis virginiana",,CLEVIR,native,3,0,vine,perennial,"virgins bower"
"Cleome hassleriana",,CLEHAS,non-native,0,5,forb,annual,"spider flower"
"Cleome serrulata",,CLESER,non-native,0,5,forb,annual,"pink cleome"
"Clinopodium vulgare",,CLIVUL,non-native,0,5,forb,perennial,dogmint
"Clintonia borealis",,CLIBOR,native,10,-1,forb,perennial,bluebead
"Clitoria mariana",,CLIMAR,native,9,5,forb,perennial,"butterfly pea"
"Cnicus benedictus",,CNIBEN,non-native,0,5,forb,annual,"blessed thistle"
"Cocculus carolinus",,COCCAR,native,6,0,vine,perennial,snailseed
"Coeloglossum viride",,COEVIR,native,8,0,forb,perennial,"bracted green orchid"
"Coincya monensis",,COIMON,non-native,0,5,forb,biennial,"wallflower cabbage"
"Collinsia verna",,COLVER,native,5,3,forb,annual,"blue-eyed mary"
"Collinsia violacea",,COLVIO,native,7,5,forb,annual,"violet collinsia"
"Collinsonia canadensis",,COLCAN,native,9,0,forb,perennial,"citronella horse balm"
"Collomia linearis",,COLLIN,non-native,0,3,forb,annual,"slenderleaf collomia"
"Comandra umbellata",,COMUMB,native,6,3,forb,perennial,"bastard toad-flax"
"Commelina communis",,COMCOM,non-native,0,0,forb,annual,"common day flower"
"Commelina diffusa",,COMDIF,non-native,0,-3,forb,annual,"day flower"
"Commelina erecta",,COMERE,native,5,5,forb,perennial,"day flower"
"Commelina virginica",,COMVIR,native,5,-3,forb,perennial,"day flower"
"Comptonia peregrina",,COMPER,native,9,5,shrub,perennial,"sweet fern"
"Conioselinum chinense",,CONCHI,native,10,-3,forb,perennial,"hemlock parsley"
"Conium maculatum",,CONMAC,non-native,0,-3,forb,biennial,"poison hemlock"
"Conopholis americana",,CONAME,native,10,5,forb,perennial,"cancer root"
"Conringia orientalis",,CONORI,non-native,0,-4,forb,annual,"hares ear mustard"
"Consolida ambigua",,CONAMB,non-native,0,5,forb,annual,"rocket larkspur"
"Consolida regalis",,CONREG,non-native,0,5,forb,annual,"forking larkspur"
"Convallaria majalis",,CONMAJ,non-native,0,5,forb,perennial,lily-of-the-valley
"Convolvulus arvensis",,CONARV,non-native,0,5,forb,perennial,"field bindweed"
"Convolvulus incanus",,CONINC,non-native,0,5,forb,perennial,"nebraska glorybind"
"Conyza canadensis",,CONCAN,native,0,1,forb,annual,horseweed
"Conyza ramosissima",,CONRAM,native,1,5,forb,annual,"dwarf fleabane"
"Corallorhiza maculata",,CORMAC,native,8,4,forb,perennial,"spotted coral root"
"Corallorhiza odontorhiza",,CORODO,native,6,5,forb,perennial,"fall coral root"
"Corallorhiza trifida",,CORTRF,native,10,-2,forb,perennial,"early coral root"
"Corallorhiza wisteriana",,CORWIS,native,7,2,forb,perennial,"coral root"
"Coreopsis basalis",,CORBAS,non-native,0,5,forb,annual,"golden wave"
"Coreopsis grandiflora",,CORGRA,non-native,0,5,forb,perennial,"large-flowered coreopsis"
"Coreopsis lanceolata",,CORLAN,native,5,3,forb,perennial,"sand coreopsis"
"Coreopsis palmata",,CORPAL,native,6,5,forb,perennial,"prairie coreopsis"
"Coreopsis pubescens",,CORPUB,native,8,1,forb,perennial,"star tickseed"
"Coreopsis tinctoria",,CORTIN,non-native,0,1,forb,annual,"golden coreopsis"
"Coreopsis tripteris",,CORTRP,native,4,0,forb,perennial,"tall coreopsis"
"Coriandrum sativum",,CORSAT,non-native,0,5,forb,annual,coriander
"Corispermum hyssopifolium",,CORHYS,native,6,3,forb,annual,"common bugseed"
"Corispermum nitidum",,CORNIT,native,6,5,forb,annual,"small bugseed"
"Cornus alternifolia",,CORALT,native,7,5,tree,perennial,"alternate-leaved dogwood"
"Cornus amomum",,CORAMO,native,10,-4,shrub,perennial,"silky dogwood"
"Cornus canadensis",,CORCAN,native,10,0,shrub,perennial,bunchberry
"Cornus drummondii",,CORDRU,native,2,0,shrub,perennial,"rough-leaved dogwood"
"Cornus florida",,CORFLO,native,5,4,tree,perennial,"flowering dogwood"
"Cornus foemina",,CORFOE,native,7,-2,shrub,perennial,"stiff dogwood"
"Cornus obliqua",,COROBL,native,4,-5,shrub,perennial,"pale dogwood"
"Cornus racemosa",,CORRAC,native,2,-2,shrub,perennial,"gray dogwood"
"Cornus rugosa",,CORRUG,native,10,5,shrub,perennial,"round-leaved dogwood"
"Cornus stolonifera",,CORSTS,native,4,-3,shrub,perennial,"red osier dogwood"
"Cornus stolonifera v. baileyi",,CORSTB,native,9,5,shrub,perennial,"baileys dogwood"
"Coronilla varia",,CORVAR,non-native,0,5,forb,perennial,"crown vetch"
"Coronopus didymus",,CORDID,non-native,0,5,forb,annual,"wart cress"
"Corydalis aurea",,CORAUR,native,5,5,forb,annual,"golden corydalis"
"Corydalis campestris",,CORCAM,native,5,5,forb,biennial,"plains corydalis"
"Corydalis curvisiliqua v. grandibracteata",,CORCUR,native,7,5,forb,biennial,"bracted corydalis"
"Corydalis flavula",,CORFLA,native,5,2,forb,biennial,"pale corydalis"
"Corydalis micrantha",,CORMIM,native,4,5,forb,biennial,"slender corydalis"
"Corydalis micrantha v. australis",,CORMIA,native,10,5,forb,biennial,"hales corydalis"
"Corydalis sempervirens",,CORSEM,native,9,5,forb,biennial,"pink corydalis"
"Corylus americana",,CORAME,native,4,0,shrub,perennial,"american filbert"
"Corylus rostrata",,CORROS,native,8,5,shrub,perennial,"beaked hazelnut"
"Cosmos bipinnatus",,COSBIP,non-native,0,-2,forb,annual,"common cosmos"
"Cosmos sulphureus",,COSSUL,non-native,0,5,forb,annual,"yellow cosmos"
"Cotoneaster multiflora",,COTMUL,non-native,0,5,shrub,perennial,"many-flowered cotoneaster"
"Crataegus calpodendron",,CRACAL,native,5,5,tree,perennial,"sugar hawthorn"
"Crataegus chrysocarpa",,CRACHR,native,5,5,tree,perennial,"fireberry hawthorn"
"Crataegus coccinea",,CRACOA,native,5,5,tree,perennial,"scarlet hawthorn"
"Crataegus coccinioides",,CRACOD,native,5,5,tree,perennial,"false scarlet hawthorn"
"Crataegus crus-galli",,CRACRU,native,2,0,tree,perennial,"cock-spur hawthorn"
"Crataegus flabellata",,CRAFLA,native,5,5,tree,perennial,"large-seeded hawthorn"
"Crataegus intricata",,CRAINT,native,5,5,tree,perennial,"biltmore hawthorn"
"Crataegus marshallii",,CRAMAR,native,10,-3,tree,perennial,"parsley haw"
"Crataegus mollis",,CRAMOL,native,2,-2,tree,perennial,"downy hawthorn"
"Crataegus monogyna",,CRAMON,non-native,0,5,tree,perennial,"english hawthorn"
"Crataegus phaenopyrum",,CRAPHA,native,5,0,tree,perennial,"washington hawthorn"
"Crataegus pruinosa",,CRAPRU,native,3,5,tree,perennial,"frosted hawthorn"
"Crataegus punctata",,CRAPUN,native,2,5,tree,perennial,"dotted hawthorn"
"Crataegus spathulata",,CRASPA,native,6,-3,tree,perennial,"littlehip hawthorn"
"Crataegus succulenta",,CRASUC,native,5,5,tree,perennial,"fleshy hawthorn"
"Crataegus viridis",,CRAVIR,native,5,-3,tree,perennial,"green thorn"
"Crepis capillaris",,CRECAP,non-native,0,5,forb,annual,"hawks beard"
"Crepis pulchra",,CREPUL,non-native,0,5,forb,annual,"hawks beard"
"Crepis tectorum",,CRETEC,non-native,0,5,forb,annual,"narrow-leaved hawks beard"
"Crotalaria sagittalis",,CROSAG,native,3,5,forb,annual,rattlebox
"Crotalaria spectabilis",,CROSPE,non-native,0,5,forb,annual,"showy rattlebox"
"Croton capitatus",,CROCAP,native,0,5,forb,annual,hogwort
"Croton glandulosus v. septentrionalis",,CROGLA,native,1,5,forb,annual,"sand croton"
"Croton lindheimerianus",,CROLID,non-native,0,5,forb,annual,"round-leaved woolly croton"
"Croton monanthogynus",,CROMON,native,2,5,forb,annual,"prairie tea"
"Croton texensis",,CROTEX,non-native,0,5,forb,annual,"texas croton"
"Crotonopsis elliptica",,CROELL,native,5,5,forb,annual,rushfoil
"Crotonopsis linearis",,CROLIR,native,8,5,forb,annual,rushfoil
"Crypsis schoenoides",,CRYSCH,non-native,0,5,grass,annual,"false foxtail"
"Cryptogramma stelleri",,CRYSTE,native,10,3,fern,perennial,"slender cliffbrake"
"Cryptotaenia canadensis",,CRYCAN,native,1,0,forb,perennial,honewort
"Cucumis melo",,CUCMEL,non-native,0,5,forb,annual,muskmelon
"Cucumis sativus",,CUCSAT,non-native,0,5,forb,annual,cucumber
"Cucurbita foetidissima",,CUCFOE,non-native,0,5,vine,perennial,"missouri gourd"
"Cucurbita pepo v. ovifera",,CUCPEP,non-native,0,3,vine,perennial,"pear gourd"
"Cunila origanoides",,CUNORI,native,5,5,forb,perennial,dittany
"Cuphea viscosissima",,CUPVIS,native,4,3,forb,annual,"blue waxweed"
"Cuscuta campestris",,CUSCAM,native,2,5,forb,annual,"field dodder"
"Cuscuta cephalanthi",,CUSCEP,native,5,5,forb,annual,"buttonbush dodder"
"Cuscuta compacta",,CUSCOM,native,10,5,forb,annual,"compact dodder"
"Cuscuta coryli",,CUSCOR,native,5,5,forb,annual,"hazel dodder"
"Cuscuta cuspidata",,CUSCUS,native,5,-4,forb,annual,"stalked dodder"
"Cuscuta glomerata",,CUSGLO,native,6,0,forb,annual,"rope dodder"
"Cuscuta gronovii",,CUSGRO,native,2,-3,forb,annual,"common dodder"
"Cuscuta indecora",,CUSIND,native,5,0,forb,annual,"false field dodder"
"Cuscuta pentagona",,CUSPEN,native,5,5,forb,annual,"prairie dodder"
"Cuscuta polygonorum",,CUSPOL,native,5,5,forb,annual,"knotweed doddere"
"Cycloloma atriplicifolium",,CYCATR,native,3,3,forb,annual,"winged pigweed"
"Cydonia oblonga",,CYDOBL,non-native,0,5,tree,perennial,"common quince"
"Cymbalaria muralis",,CYMMUR,non-native,0,5,forb,perennial,"kenilworth ivy"
"Cynanchum laeve",,CYNLAE,native,1,0,vine,perennial,"blue vine"
"Cynanchum nigrum",,CYNNIG,non-native,0,5,forb,perennial,"black swallow-wort"
"Cynodon dactylon",,CYNDAC,non-native,0,3,grass,perennial,"bermuda grass"
"Cynoglossum officinale",,CYNOFF,non-native,0,5,forb,biennial,"common hounds tongue"
"Cynoglossum virginianum",,CYNVIR,native,6,5,forb,perennial,"wild comfrey"
"Cynosciadium digitatum",,CYNDIG,native,9,-3,forb,annual,"false cowbane"
"Cyperus acuminatus",,CYPACU,native,2,-5,sedge,annual,"short-pointed flat sedge"
"Cyperus aristatus",,CYPARI,native,2,-5,sedge,annual,"awned flat sedge"
"Cyperus compressus",,CYPCOM,non-native,0,-4,sedge,annual,"flat sedge"
"Cyperus densicaespitosus",,CYPDEN,native,0,5,sedge,annual,"tufted flat sedge"
"Cyperus diandrus",,CYPDIA,native,7,-4,sedge,annual,"umbrella flat sedge"
"Cyperus engelmannii",,CYPENG,native,7,-5,sedge,annual,"false rusty nut sedge"
"Cyperus erythrorhizos",,CYPERY,native,1,-5,sedge,annual,"red-rooted nut sedge"
"Cyperus esculentus",,CYPESC,native,0,-3,sedge,perennial,"field nut sedge"
"Cyperus ferruginescens",,CYPFER,native,1,-5,sedge,annual,"rusty nut sedge"
"Cyperus filicinus",,CYPFIN,non-native,0,-5,sedge,annual,"slender flat sedge"
"Cyperus filiculmis",,CYPFIM,native,5,4,sedge,perennial,"slender sand sedge"
"Cyperus flavescens",,CYPFLA,native,8,-5,sedge,annual,"yellow flat sedge"
"Cyperus grayioides",,CYPGRA,native,8,5,sedge,perennial,galingale
"Cyperus houghtonii",,CYPHOU,native,7,5,sedge,perennial,"smooth sand sedge"
"Cyperus iria",,CYPIRI,non-native,0,-3,sedge,annual,"black-seeded iria"
"Cyperus lancastriensis",,CYPLAN,native,7,1,sedge,perennial,"lancaster umbrella sedge"
"Cyperus ovularis",,CYPOVU,native,2,0,sedge,perennial,"hedgehog club rush"
"Cyperus pseudovegetus",,CYPPSE,native,5,-3,sedge,perennial,"false green flat sedge"
"Cyperus retrorsus",,CYPRET,non-native,0,1,sedge,perennial,"false hedgehog club rush"
"Cyperus rivularis",,CYPRIV,native,4,-4,sedge,annual,"brook flat sedge"
"Cyperus schweinitzii",,CYPSCH,native,5,2,sedge,perennial,"rough sand sedge"
"Cyperus strigosus",,CYPSTR,native,0,-3,sedge,perennial,"longl-scaled nut sedge"
"Cyperus x mesochorus",,CYPMES,native,4,5,sedge,perennial,"midland sand sedge"
"Cypripedium acaule",,CYPACA,native,10,-3,forb,perennial,"moccasin flower"
"Cypripedium candidum",,CYPCAN,native,10,-5,forb,perennial,"white ladys slipper"
"Cypripedium parviflorum",,CYPPAR,native,10,-1,forb,perennial,"small yellow ladys slipper"
"Cypripedium pubescens",,CYPPUB,native,8,-1,forb,perennial,"large yellow ladys slipper"
"Cypripedium reginae",,CYPREG,native,10,-4,forb,perennial,"showy ladys slipper"
"Cypripedium x andrewsii",,CYPAND,native,10,-3,forb,perennial,"hybrid ladys slippers"
"Cypripedium x favillianum",,CYPFAV,native,10,-3,forb,perennial,"hybrid ladys slippers"
"Cystopteris bulbifera",,CYSBUL,native,8,-2,fern,perennial,"berry bladder fern"
"Cystopteris protrusa",,CYSPRO,native,4,3,fern,perennial,"hybrid fragile fern"
"Cystopteris x illinoensis",,CYSILL,native,10,3,fern,perennial,"hybrid fragile fern"
"Cystopteris x laurentiana",,CYSLAU,native,10,3,fern,perennial,"hybrid fragile fern"
"Cystopteris x tennesseensis",,CYSTES,native,9,3,fern,perennial,"tennessee fragile fern"
"Cystopteris x tenuis",,CYSTEU,native,10,3,fern,perennial,"hybrid fragile fern"
"Dactylis glomerata",,DACGLO,non-native,0,3,grass,perennial,"orchard grass"
"Dactyloctenium aegyptium",,DACAEG,non-native,0,5,grass,annual,"crowfoot grass"
"Dalea candida",,DALCAN,native,9,5,forb,perennial,"white prairie clover"
"Dalea foliosa",,DALFOL,native,10,5,forb,perennial,"leafy prairie clover"
"Dalea leporina",,DALLEP,non-native,0,5,forb,annual,"foxtail dalea"
"Dalea purpurea",,DALPUR,native,8,5,forb,perennial,"purple prairie clover"
"Danthonia spicata",,DANSPI,native,3,5,grass,perennial,"poverty oat grass"
"Dasistoma macrophylla",,DASMAC,native,7,4,forb,perennial,"mullein foxglove"
"Datura innoxia",,DATINN,non-native,0,4,forb,perennial,"angels trumpet"
"Datura stramonium",,DATSTS,non-native,0,4,forb,annual,jimsonweed
"Datura stramonium v. tatula",,DATSTT,non-native,0,4,forb,annual,"purple jimsonweed"
"Daucus carota",,DAUCAR,non-native,0,4,forb,biennial,"queen annes lace"
"Daucus pusillus",,DAUPUS,non-native,0,4,forb,biennial,"small wild carrot"
"Decodon verticillatus",,DECVER,native,8,-5,shrub,perennial,"swamp loosestrife"
"Delphinium carolinianum v. crispum",,DELCAC,native,10,5,forb,perennial,"wild blue larkspur"
"Delphinium carolinianum v. penardii",,DELCAP,native,10,5,forb,perennial,"wild blue larkspur"
"Delphinium tricorne",,DELTRI,native,6,5,forb,perennial,"dwarf larkspur"
"Dennstaedtia punctilobula",,DENPUN,native,10,5,fern,perennial,"hay-scented fern"
"Dentaria diphylla",,DENDIP,native,10,-1,forb,perennial,crinkleroot
"Dentaria laciniata",,DENLAC,native,4,4,forb,perennial,toothwort
"Deschampsia cespitosa v. glauca",,DESCES,native,8,-4,grass,perennial,"tufted hair grass"
"Descurainia pinnata",,DESPIP,native,7,5,forb,annual,"tansy mustard"
"Descurainia pinnata v. brachycarpa",,DESPIB,non-native,0,5,forb,annual,"tansy mustard"
"Descurainia sophia",,DESSOP,non-native,0,5,forb,annual,flixweed
"Desmanthus illinoensis",,DESILS,native,4,1,forb,perennial,"illinois bundle flower"
"Desmodium canadense",,DESCAD,native,5,1,forb,perennial,"showy tick trefoil"
"Desmodium canescens",,DESCAS,native,4,5,forb,perennial,"hoary tick trefoil"
"Desmodium ciliare",,DESCIL,native,7,5,forb,perennial,"hairy tick trefoil"
"Desmodium cuspidatum",,DESCUC,native,6,5,forb,perennial,"bracted tick trefoil"
"Desmodium cuspidatum v. longifolium",,DESCUL,native,6,5,forb,perennial,"hairy bracted tick trefoil"
"Desmodium glabellum",,DESGLA,native,3,3,forb,perennial,"smooth tick trefoil"
"Desmodium glutinosum",,DESGLU,native,3,5,forb,perennial,"pointed tick trefoil"
"Desmodium illinoense",,DESILE,native,5,5,forb,perennial,"illinois tick trefoil"
"Desmodium laevigatum",,DESLAE,native,7,3,forb,perennial,"glaucous tick trefoil"
"Desmodium marilandicum",,DESMAR,native,6,5,forb,perennial,"small-leaved tick trefoil"
"Desmodium nudiflorum",,DESNUD,native,5,5,forb,perennial,"bare-stemmed tick trefoil"
"Desmodium nuttallii",,DESNUT,native,9,5,forb,perennial,"nuttalls tick trefoil"
"Desmodium obtusum",,DESOBT,native,5,3,forb,perennial,"stiff tick trefoil"
"Desmodium paniculatum",,DESPAN,native,2,3,forb,perennial,"panicled tick trefoil"
"Desmodium pauciflorum",,DESPAU,native,8,5,forb,perennial,"few-flowered tick trefoil"
"Desmodium rotundifolium",,DESROT,native,9,5,forb,perennial,"round-leaved tick trefoil"
"Desmodium sessilifolium",,DESSES,native,6,5,forb,perennial,"sessile-leaved ticktrefoil"
"Deutzia scabra",,DEUSCA,non-native,0,5,shrub,perennial,pride-of-rochester
"Dianthus armeria",,DIAARM,non-native,0,5,forb,annual,"deptford pink"
"Dianthus barbatus",,DIABAR,non-native,0,5,forb,perennial,"sweet william"
"Dianthus deltoides",,DIADEL,non-native,0,5,forb,perennial,"maiden pink"
"Diarrhena americana",,DIAAME,native,7,-3,grass,perennial,"beak grass"
"Dicentra canadensis",,DICCAN,native,7,5,forb,perennial,"squirrel corn"
"Dicentra cucullaria",,DICCUC,native,5,5,forb,perennial,"dutchmans breeches"
"Dicentra eximia",,DICEXI,non-native,0,5,forb,perennial,"wild bleeding heart"
